id,time,src_ip,dst_ip,protocol,size,src_port,dst_port
1,10:15:41,10.0.0.12,142.250.80.46,UDP,281,56854,123
2,10:09:00,10.0.0.5,13.107.42.14,UDP,499,57704,67
3,10:26:47,192.168.1.20,8.8.8.8,UDP,359,52595,5353
4,10:26:57,192.168.1.5,104.21.45.10,TCP,1194,57641,22
5,10:29:44,10.0.0.12,142.250.80.46,TCP,248,58394,53
6,10:25:33,10.0.0.5,142.250.80.46,ICMP,39,0,0
7,10:23:02,192.168.0.100,1.1.1.1,TCP,276,57653,22
8,10:21:31,192.168.1.15,185.60.216.35,UDP,148,52749,123
9,10:02:43,192.168.1.10,142.250.80.46,TCP,617,62810,22
10,10:19:56,172.16.0.3,151.101.1.69,TCP,1110,49841,53
11,10:07:34,192.168.1.15,151.101.1.69,UDP,445,51179,67
12,10:20:21,192.168.1.20,104.21.45.10,UDP,494,64031,67
13,10:23:32,192.168.1.10,185.60.216.35,UDP,307,63957,67
14,10:16:10,192.168.1.15,13.107.42.14,TCP,238,56621,443
15,10:02:26,192.168.1.5,1.1.1.1,UDP,384,55078,53
16,10:18:55,192.168.1.10,13.107.42.14,ICMP,29,0,0
17,10:05:36,10.0.0.5,8.8.8.8,UDP,216,61897,53
18,10:04:00,10.0.0.12,52.86.34.120,TCP,1214,53620,53
19,10:20:16,192.168.1.10,8.8.8.8,TCP,1283,65297,443
20,10:00:37,192.168.1.10,104.21.45.10,TCP,540,58649,443
21,10:10:56,192.168.1.15,142.250.80.46,UDP,329,60376,67
22,10:14:02,192.168.0.100,13.107.42.14,ICMP,34,0,0
23,10:04:57,192.168.1.20,13.107.42.14,UDP,326,57403,67
24,10:08:18,192.168.1.5,142.250.80.46,TCP,730,54864,3306
25,10:04:53,192.168.1.10,104.21.45.10,TCP,1262,58993,3306
26,10:23:23,192.168.1.10,13.107.42.14,UDP,167,58127,123
27,10:08:44,192.168.1.15,13.107.42.14,TCP,1133,49362,25
28,10:07:53,192.168.1.15,104.21.45.10,UDP,85,63911,67
29,10:23:06,192.168.1.20,185.60.216.35,UDP,422,51416,53
30,10:20:06,192.168.0.100,13.107.42.14,TCP,1489,58116,8080
31,10:07:15,172.16.0.3,52.86.34.120,TCP,1201,53963,53
32,10:06:12,192.168.0.100,52.86.34.120,TCP,682,60623,443
33,10:21:24,192.168.1.10,1.1.1.1,TCP,971,51882,22
34,10:19:08,192.168.1.20,142.250.80.46,UDP,417,58947,123
35,10:25:59,10.0.0.12,104.21.45.10,TCP,156,56306,80
